Z	N	symbol	name	half-life (y)	spin	dipole moment (nuclear magnetons)	error (nuclear magnetons)	gyromagnetic ratio (MHz/T)	error (MHz/T)	natural abundance	error
80	201	Hg	Mercury	-1	1.5	-0.558	0.0007	-2.8356046812290385	0.0035572101735848157	13.18	0.09
81	203	Tl	Thallium	-1	0.5	1.616	0.002	24.63622131648455	0.03049037291644128	29.52	0.01
81	204	Tl	Thallium	3.78 	2	0.09	0.01	0.3430166953099643	0.0381129661455516	-1	-1
81	205	Tl	Thallium	-1	0.5	1.632	0.002	24.88014429981608	0.03049037291644128	70.48	0.01
82	205	Pb	Lead	1.73e7 	2.5	0.7094	0.0006	2.162987054692344	0.0018294223749864764	-1	-1
82	207	Pb	Lead	-1	0.5	0.5906	0.0004	9.00380712222511	0.006098074583288256	22.1	0.1
83	207	Bi	Bismuth	31.6 	4.5	4.0729	0.002	6.899124436187426	0.0033878192129379193	-1	-1
83	208	Bi	Bismuth	3.7e5 	5	4.572	0.01	6.970099248698476	0.01524518645822064	-1	-1
83	209	Bi	Bismuth	2.0e19 	4.5	4.092	0.002	6.931478109670983	0.0033878192129379193	100.0	100.0
84	209	Po	Polonium	124 	0.5	0.68	0.08	10.366726791590036	1.219614916657651	-1	-1
89	227	Ac	Actinium	21.77 	1.5	1.22	0.17	6.1997091596763925	0.8638938992991696	-1	-1
90	229	Th	Thorium	7880 	2.5	0.46	0.04	1.402557154156299	0.12196149166576511	-1	-1
91	231	Pa	Protactinium	3.3e4 	1.5	1.99	0.02	10.11264035061969	0.1016345763881376	100.0	100.0
92	233	U	Uranium	1.6e5 	2.5	-0.59	0.05	-1.7989320020700355	0.15245186458220644	-1	-1
92	235	U	Uranium	7.0e8 	3.5	-0.38	0.03	-0.827595836303406	0.06533651339237416	0.7204	0.0006
93	237	Np	Neptunium	2.1e6 	2.5	3.16	0.1	9.634957841595446	0.3049037291644129	-1	-1
94	239	Pu	Plutonium	24.11e3 	0.5	0.202	0.004	3.079527664560569	0.06098074583288256	-1	-1
94	241	Pu	Plutonium	14.3 	2.5	-0.678	0.014	-2.067247283734719	0.04268652208301779	-1	-1
95	241	Am	Americium	432.6 	2.5	1.6	0.01	4.878459666630606	0.03049037291644128	-1	-1
95	243	Am	Americium	7364 	2.5	1.52	0.01	4.634536683299075	0.03049037291644128	-1	-1
96	243	Cm	Curium	29.1 	2.5	0.4	0.08	1.2196149166576515	0.24392298333153023	-1	-1
96	245	Cm	Curium	8423 	3.5	0.5	0.1	1.0889418898729026	0.21778837797458056	-1	-1
96	247	Cm	Curium	1.56e7 	4.5	0.36	0.07	0.6098074583288254	0.11857367245282721	-1	-1
